temperature,wind,precipitation,user_counts
10.4,4.6,0.8449438202247181,6368
5.666666666666667,4.625,0.0408602150537634,5902
4.933333333333334,4.725,0.008695652173913,6226
3.4,2.6750000000000003,0.1569892473118279,5829
8.9,3.95,7.988461538461535,7589
9.066666666666666,3.45,0.0408602150537634,9271
10.9,4.875,0.0,9762
18.3,3.2750000000000004,0.0031578947368421,8466
22.666666666666668,3.5250000000000004,0.0,9750
24.566666666666663,3.775,0.0,9553
23.566666666666663,3.45,0.0,9091
15.433333333333332,3.85,7.365217391304346,5997
13.766666666666666,2.675,12.396774193548383,11267
13.633333333333333,2.85,0.0188235294117647,9604
14.8,3.275,0.4627659574468085,6908
16.533333333333335,3.825,0.0968421052631579,8247
19.366666666666667,2.575,0.5309278350515463,8477
18.4,4.2,0.9681818181818176,7686
20.3,5.125,4.832258064516132,6118
12.633333333333333,5.4,23.91844660194176,8793
9.0,3.275,0.0177777777777777,7330
8.4,4.3,0.0,6737
10.7,2.6,0.0031914893617021,7434
14.266666666666666,4.65,0.0086021505376344,8460
14.5,4.025,0.2950000000000001,8262
13.166666666666666,2.1,0.0033333333333333,8996
14.033333333333331,1.975,0.0,10820
14.066666666666668,3.225,0.0373493975903614,7851
13.933333333333332,3.575,4.063917525773199,4289
13.833333333333334,3.45,6.785106382978723,5359
14.9,3.7,1.8562500000000004,8607
13.4,2.35,0.0094736842105263,8490
13.866666666666664,3.975,0.0032258064516129,8655
13.166666666666666,3.875,0.0032258064516129,9472
12.0,3.75,0.0,7986
12.633333333333333,4.55,0.3273684210526316,6505
15.6,5.300000000000001,4.166666666666669,4419
16.266666666666666,1.825,21.90754716981132,6586
16.2,1.7999999999999998,4.450961538461541,7793
20.1,2.5,2.234653465346536,8870
20.166666666666668,2.55,13.331481481481482,6455
16.666666666666668,5.175,9.898039215686277,8010
11.366666666666664,4.050000000000001,0.0170212765957446,7381
10.433333333333332,2.5,0.0031914893617021,8061
17.866666666666667,3.475,0.0397959183673469,8756
24.133333333333336,3.625,0.1,8895
22.7,2.575,0.0159090909090909,10047
18.5,3.25,0.141860465116279,6333
17.733333333333334,2.125,1.7436170212765958,6674
21.566666666666663,2.4,0.4417582417582418,8383
23.1,2.825,0.1159090909090909,9042
24.899999999999995,3.4,0.3712643678160919,8895
23.33333333333333,3.775,4.456862745098042,8051
16.2,6.275,17.09215686274508,6627
12.4,6.200000000000001,0.5130434782608695,7944
15.633333333333333,3.95,0.00375,9888
16.400000000000002,1.35,0.0,8966
19.3,2.15,2.2378947368421067,7551
24.066666666666663,3.275,6.402020202020205,9275
26.366666666666664,2.625,0.0532467532467532,8740
26.03333333333333,3.5,0.1623376623376623,9102
26.83333333333333,3.75,0.0,9457
26.33333333333333,4.075,1.7325581395348837,7664
22.83333333333333,2.8666666666666667,21.51826923076924,7393
20.6,2.7750000000000004,6.929126213592234,9926
19.9,2.35,0.0052083333333333,9986
20.4,3.6,1.5627659574468085,6854
20.3,3.475,35.91826923076924,2477
21.7,2.25,23.979999999999983,9758
22.866666666666664,2.1,0.3387755102040818,9220
23.2,3.225,22.91495327102804,4368
23.46666666666667,3.95,29.717592592592588,9193
25.666666666666668,2.475,0.128,9180
25.166666666666668,4.45,2.593203883495146,7259
21.2,4.925,10.344036697247695,9783
22.8,2.575,0.2373626373626374,10446
23.23333333333333,2.2750000000000004,0.0191011235955056,8710
25.666666666666668,2.3000000000000003,0.5270833333333331,8613
23.2,1.775,2.3760869565217395,7140
21.03333333333333,2.45,12.71698113207547,10039
21.5,2.9000000000000004,0.0255555555555555,10147
22.0,1.85,0.0,10319
23.6,2.95,0.0,10799
24.3,1.725,0.7590909090909087,7175
26.33333333333333,2.075,6.939175257731955,8042
26.633333333333336,2.575,2.027659574468085,8970
26.366666666666664,2.3,2.751546391752578,8392
23.866666666666664,3.05,4.214141414141418,8619
24.933333333333334,2.7,5.722916666666669,6247
24.666666666666668,2.45,19.548453608247417,10503
25.76666666666667,2.7,1.588888888888889,7087
25.133333333333336,3.5249999999999995,7.860999999999995,7842
